epoch;loss;train_auc_scores;train_ave_auc_macro;train_ave_auc_micro;train_ave_auc_weighted;val_auc_scores;val_ave_auc_macro;val_ave_auc_micro;val_ave_auc_weighted;val_loss
0;0.3967168380684323;"""[0.771668315048524, 0.8764138202758763, 0.6747571844990068, 0.6545544860704082, 0.7168419396898837, 0.6528970932290643, 0.6467253619172713, 0.659146299579571, 0.7167585049741361, 0.7428770375000433, 0.7818540367526301, 0.6809318721708391, 0.6915937592786814, 0.6344435772957548, 0.7201712392066235, 0.6805422596122728, 0.6931308270374048, 0.6884097225708472, 0.6618321217690255, 0.7056970988976727, 0.6779985073864896, 0.784451278054708, 0.8592165040581028, 0.7962179549990331, 0.833905492757825]""";0.7201214517852678;0.7845514650967285;0.7119081699520661;"""[0.7680793483091423, 0.8801432323809074, 0.673138946208845, 0.6385840606024662, 0.7182313479976463, 0.6593069118887667, 0.6565071085481495, 0.6439597693075753, 0.7019071474251607, 0.7405754820688659, 0.7764093948556354, 0.6926413453570115, 0.6903806457957458, 0.6252189231922021, 0.7199364297584502, 0.6741455442643898, 0.6936447271171275, 0.6837154688331417, 0.6883023215340084, 0.7020129219068589, 0.6638656201395051, 0.7811320045896036, 0.8597088349977225, 0.784144574247402, 0.8308235883787667]""";0.7178606279882038;0.7819982365421645;0.7086746521417383;0.3720437021321731
1;0.3740313576307052;"""[0.7860471202866496, 0.8998401253142728, 0.7048815828108046, 0.6666634985643569, 0.7422032184816109, 0.6642458857049067, 0.6875293171333363, 0.6852699456135405, 0.727114537720059, 0.7557697128549931, 0.8500707651720459, 0.7279021848379371, 0.6999379006240143, 0.6520759769114621, 0.7335755017936849, 0.7087494122982892, 0.7268116964949651, 0.7107036820125121, 0.6767663753567115, 0.7258484872451053, 0.68809700759569, 0.7941542355622363, 0.8764621721742837, 0.811534091130572, 0.8497132196313513]""";0.7420787061330156;0.8008169542559783;0.7317182145308558;"""[0.7849612130024509, 0.8987431392519661, 0.7133274091406244, 0.646335102023248, 0.7392384712372354, 0.658053071967988, 0.6935668018402232, 0.6670763977316615, 0.7130079149252007, 0.7541264565685489, 0.8473574241201078, 0.7332134261184314, 0.6982247356507738, 0.6400802588053319, 0.7328829612841744, 0.7157359924841996, 0.722240900693972, 0.6957305747291727, 0.6873943993124807, 0.7025437666503561, 0.6770148987585759, 0.7917593517341566, 0.8717650101819614, 0.7970548502430783, 0.8393362136684995]""";0.7368308296849768;0.7975873786127584;0.7263499213010036;0.3627771230970292
2;0.36784842466289164;"""[0.7971963686247626, 0.9075958948891591, 0.730055337489167, 0.6724407667422065, 0.7562658453207034, 0.6783447135973603, 0.6920919904687978, 0.7028012086242593, 0.741576066684938, 0.7691316332221299, 0.8643788319639865, 0.757241843296906, 0.7108725868656727, 0.6611754473309173, 0.7400555633066338, 0.7166322813418742, 0.7485478728051483, 0.7222151992061281, 0.6831598234018015, 0.742767992866635, 0.6973173970511167, 0.7992081925692037, 0.8870353329919975, 0.8261434400897074, 0.8690562412271908]""";0.7549323148791361;0.8093858785393504;0.7437951060529432;"""[0.7952032956626048, 0.9061609408808051, 0.7252587329022896, 0.6447068705884604, 0.7500704190524928, 0.6769257467022682, 0.7001458524084052, 0.6951409768996201, 0.7254004349329302, 0.7610567377172542, 0.848225047495809, 0.7492741737329162, 0.7052704615376467, 0.6438520135230834, 0.7382226171424823, 0.7186654331510487, 0.7428421656811771, 0.7112000760961708, 0.6828234270372375, 0.7239470667053445, 0.6836611529401424, 0.7965355984889986, 0.878684432999119, 0.8137693893346812, 0.852348214790924]""";0.7467756511361565;0.8034454655382354;0.7349911746839274;0.35819656716806136
3;0.3636687802045773;"""[0.8053726195971982, 0.9180243734759495, 0.7389301741511489, 0.6845177782428483, 0.7708653355563418, 0.6918005419777074, 0.6968590517705411, 0.7142649724127876, 0.7510936956456795, 0.7736808871203407, 0.8750479652713846, 0.7598886322642247, 0.7114125183799955, 0.6679401280165739, 0.7475547675573293, 0.7185437003503343, 0.7633376583805009, 0.7319852299138729, 0.6911416234332183, 0.7639624751359803, 0.7031801694003572, 0.808539270443484, 0.8935116742176493, 0.833396146699056, 0.875905273431329]""";0.7636302665138334;0.8163000996929981;0.7515842521798523;"""[0.7984974098112361, 0.9132131287840207, 0.7311559316459616, 0.6629131906338813, 0.7564129219044595, 0.6879534444050572, 0.7010499567773434, 0.7034313836560641, 0.7297484119731992, 0.7623846250372067, 0.8630150826050029, 0.751938360257855, 0.7005189945944694, 0.6537345409522576, 0.7490156302981235, 0.7268027962914352, 0.756474196953074, 0.711932853545938, 0.6918557074367746, 0.7321142928183664, 0.6896271791640411, 0.8018749567199307, 0.8884594322387375, 0.8126033110443981, 0.8550585145395346]""";0.7532714501635348;0.8086926016245858;0.7412446516302583;0.3544731562683223
4;0.360573073856851;"""[0.8088184166914141, 0.9199416147931953, 0.7508166569916408, 0.6870835739340334, 0.7775374258974148, 0.7005019008542641, 0.7049911692196875, 0.7257024076613071, 0.7566957318169416, 0.7783184111153155, 0.8764312771844742, 0.7607576359940267, 0.7166094293728704, 0.6727142847306226, 0.7492971235049861, 0.72712307804815, 0.7679882061667987, 0.7468030859066118, 0.6925784480910273, 0.7688936792276028, 0.7005209614440543, 0.8125389013737183, 0.8980952251543126, 0.8402305162794249, 0.8797792804415197]""";0.7688307376758167;0.8198888965889886;0.756448517445425;"""[0.8013164920467549, 0.9179714465568947, 0.7410071388191088, 0.6530776748127494, 0.7685981187047947, 0.6917978071303746, 0.7085975415325982, 0.7047360980911928, 0.7346889633653537, 0.7660596211819136, 0.860500638046548, 0.7475285468863949, 0.7077729125584173, 0.6571378168809594, 0.7472724126097627, 0.7282437197547554, 0.7589108982007775, 0.7174090451538683, 0.6939367700016329, 0.7314581520312737, 0.6887982189188722, 0.8109389018519865, 0.8892399890501389, 0.8270536382654395, 0.8678538589939456]""";0.7568762568578603;0.8116039086566883;0.744375805790408;0.3543027153504997
5;0.3581241087832003;"""[0.8121075663810707, 0.9224952006277554, 0.7579880515643891, 0.6881688215411667, 0.7798004836126681, 0.7044435366216314, 0.7143694043624405, 0.7280082753832724, 0.7604739758149374, 0.7828106327190503, 0.8816416331607643, 0.7789324757222161, 0.7185422676812335, 0.6765923179867617, 0.7516265515295618, 0.7339776250607775, 0.7717167828023146, 0.7449718648733267, 0.6941179449584631, 0.7747349503692472, 0.7135366065744655, 0.8132823114189875, 0.9015638613906819, 0.8458801391350552, 0.8883634011437294]""";0.7736058672974387;0.8227268029973083;0.7609545259594457;"""[0.8001922620175035, 0.9142276655002499, 0.7401522445093364, 0.6618377429785353, 0.7643140179593804, 0.6886212133082108, 0.7124205365098792, 0.6957490699905576, 0.7341807354146279, 0.7685883429064898, 0.8676678927276547, 0.762848631006877, 0.711468375753238, 0.6611949965776711, 0.7465746436387295, 0.735676615686083, 0.7576272022696855, 0.7232115455598901, 0.6866676729435426, 0.7448320279585042, 0.7045443634290515, 0.7998229128714381, 0.8893914375225306, 0.8236975649218933, 0.8695458452609084]""";0.7586022223688988;0.8126156681602683;0.7464022521210428;0.3527502689719331
6;0.3558803793467008;"""[0.8175258684348241, 0.9225323918563655, 0.7640116380117824, 0.6971333056029327, 0.7878895973558582, 0.7114633854828758, 0.7172781985304022, 0.7314699828643703, 0.766209448447416, 0.7888584362139918, 0.8869301568083985, 0.7843909863158913, 0.7221453428685635, 0.6822058590111735, 0.7559927125538719, 0.7361448327912475, 0.7780829847886486, 0.7574361689879963, 0.7052609878482143, 0.7792647785914222, 0.7143069438261294, 0.8184069893602293, 0.9034381636461993, 0.8481460366079455, 0.8900739937081553]""";0.7786639676205962;0.8251953922916455;0.7661690465873462;"""[0.8057537361338588, 0.9130851463340535, 0.7431998011319854, 0.6669924587408017, 0.7640841273161711, 0.6942996345919611, 0.7126936028180457, 0.7115592572155547, 0.7339891388772172, 0.771212707636593, 0.8712051163507474, 0.7717169554561836, 0.7051509018371015, 0.6617275636998298, 0.7558702080767598, 0.727412744856496, 0.7603471308110362, 0.7353085633916397, 0.6943326382490341, 0.7287804069454228, 0.6919174221437377, 0.8021976152378425, 0.888734441441783, 0.8257098192573771, 0.8701489192365267]""";0.7602972023115103;0.8133058505682433;0.7485001672079382;0.35197769460012357
7;0.3546207064196595;"""[0.8183813414623805, 0.9272574938239425, 0.7709044673243659, 0.6984320888128337, 0.7932161162604565, 0.7142957612140629, 0.7193557364558248, 0.7391830003050541, 0.7663911845189566, 0.7896016861739084, 0.8871273425079811, 0.7774347874476388, 0.724081937585772, 0.6822393483413174, 0.7584289978042134, 0.7433030415381735, 0.7859379405509798, 0.7616011294055284, 0.7052242219886785, 0.7794913262552524, 0.7185079691736872, 0.8206969979069594, 0.905867264247905, 0.8509755618412405, 0.8932265375070757]""";0.7812465312181677;0.8273096775682952;0.7680283576835327;"""[0.805336364832086, 0.9150394558308933, 0.7477886084334906, 0.6614928368400065, 0.7718151392946475, 0.6888079681911726, 0.7165435135802152, 0.7153147527955952, 0.7317893293275225, 0.7693422874351376, 0.8746953706645599, 0.7621841770186083, 0.7107566398677261, 0.6597897756208164, 0.750437441597385, 0.7427159988522818, 0.7714663418922353, 0.7314052447525085, 0.6935001535651358, 0.7298130087676216, 0.6910398254573997, 0.8097555731534938, 0.8915672783128253, 0.82496044130889, 0.8750647173654728]""";0.7616968897903091;0.8142293388104052;0.7486201143350518;0.3522361340131327
8;0.35231993126665423;"""[0.8220747694699669, 0.9290068816082024, 0.781445954144966, 0.7063074010023238, 0.7995581540170915, 0.7217854350947104, 0.7259239401515387, 0.7427356925773182, 0.774016064597246, 0.7964495540021028, 0.8947197877788218, 0.7977440358846141, 0.7295344215474868, 0.6893830125079046, 0.7607274295991554, 0.7541135729436055, 0.7926195545715538, 0.7688288786907982, 0.7089771680291522, 0.7880595302982204, 0.7219743889384843, 0.8215747703769929, 0.9102846802069889, 0.8552584593524816, 0.8970556773913053]""";0.7876063685913214;0.832920895801453;0.7746092854966437;"""[0.8036070585468655, 0.9148097187370535, 0.7559348473835664, 0.6741903758318034, 0.7657557716936071, 0.6983866213257311, 0.7220350949514092, 0.7055863379640783, 0.7383443272995008, 0.7736760753758667, 0.871028295876144, 0.782665664918518, 0.7116477303505174, 0.6657687399428402, 0.7525888307894708, 0.7497662285656267, 0.7639464693575939, 0.7363821056743693, 0.6954762943924478, 0.7471680802479204, 0.6964511142134225, 0.8062318472047862, 0.8938004397800503, 0.8235646975255105, 0.8712385317107991]""";0.7648020519863798;0.816981245623851;0.7525013024660401;0.34914484628046577
9;0.35106895577194347;"""[0.8223603385640423, 0.9315761149436391, 0.788198269487886, 0.709938393766631, 0.799888604257546, 0.7214589800846692, 0.7271778879964559, 0.7495182663426475, 0.7765776023524861, 0.7982313646721297, 0.8941123966082792, 0.8002836285389028, 0.7312096939458963, 0.6932701866251054, 0.7622608345168634, 0.7596839952867079, 0.7939056572890903, 0.7680470286490542, 0.7127019144764505, 0.7885003207766323, 0.7215597471234672, 0.8233663794188071, 0.9114723067660333, 0.8567873638024059, 0.9002196931333951]""";0.7896922787770089;0.8331872460032747;0.7767364485696572;"""[0.8070306867711509, 0.914759895811685, 0.756068957800714, 0.6788705985126883, 0.7649129381518464, 0.6985260768976146, 0.7156913810227798, 0.7106784952659763, 0.7413492305290426, 0.7766860464984049, 0.8678587311804108, 0.7801624301714614, 0.7133651803361029, 0.6638897881316248, 0.7484463039537927, 0.7466143671336142, 0.7679585376946011, 0.7307439896289056, 0.6883300821393604, 0.7519936319809926, 0.6926806424888168, 0.8078503895123736, 0.8921456772407736, 0.821309180623104, 0.8730574887299667]""";0.7644392291283121;0.8156837306176287;0.7526702285557156;0.35064736039049865
